Feb 6, 1930 1:21 PM Mars enters Aquarius
June 13, 1978 9:38 PM Mars enters Virgo
Aug 4, 1978 4:07 AM Mars enters Libra
Sep 19, 1978 3:57 PM Mars enters Scorpio
Nov 1, 1978 8:20 PM Mars enters Sagittarius
Dec 12, 1978 12:39 PM Mars enters Capricorn
Jan 20, 1979 12:07 PM Mars enters Aquarius
Feb 27, 1979 3:25 PM Mars enters Pisces
Apr 6, 1979 8:08 PM Mars enters Aries
May 15, 1979 11:25 PM Mars enters Taurus
June 25, 1979 8:55 PM Mars enters Gemini
Aug 8, 1979 8:28 AM Mars enters Cancer
Sep 24, 1979 4:21 PM Mars enters Leo
Nov 19, 1979 4:36 PM Mars enters Virgo
Mar 11, 1980 3:46 PM Mars Rx enters Leo
May 3, 1980 9:27 PM Mars enters Virgo
July 10, 1980 12:59 PM Mars enters Libra
Aug 29, 1980 12:50 AM Mars enters Scorpio
Oct 12, 1980 1:27 AM Mars enters Sagittarius
Nov 21, 1980 8:42 PM Mars enters Capricorn
Dec 30, 1980 5:30 PM Mars enters Aquarius
Feb 6, 1981 5:48 PM Mars enters Pisces
Mar 16, 1981 9:40 PM Mars enters Aries
Apr 25, 1981 2:17 AM Mars enters Taurus
June 5, 1981 12:26 AM Mars enters Gemini
July 18, 1981 3:54 AM Mars enters Cancer
Sep 1, 1981 8:52 PM Mars enters Leo
Oct 20, 1981 8:56 PM Mars enters Virgo
Dec 15, 1981 7:14 PM Mars enters Libra
Aug 3, 1982 6:45 AM Mars enters Scorpio
Sep 19, 1982 8:20 PM Mars enters Sagittarius
Oct 31, 1982 6:05 PM Mars enters Capricorn
Dec 10, 1982 1:17 AM Mars enters Aquarius
Jan 17, 1983 8:10 AM Mars enters Pisces
Feb 24, 1983 7:19 PM Mars enters Aries
Apr 5, 1983 9:03 AM Mars enters Taurus
May 16, 1983 4:43 PM Mars enters Gemini
June 29, 1983 1:54 AM Mars enters Cancer
Aug 13, 1983 11:54 AM Mars enters Leo
Sep 29, 1983 7:12 PM Mars enters Virgo
Nov 18, 1983 5:26 AM Mars enters Libra
Jan 10, 1984 10:20 PM Mars enters Scorpio
Aug 17, 1984 2:50 PM Mars enters Sagittarius
Oct 5, 1984 1:02 AM Mars enters Capricorn
Nov 15, 1984 1:09 PM Mars enters Aquarius
Dec 25, 1984 1:38 AM Mars enters Pisces
Feb 2, 1985 12:19 PM Mars enters Aries
Mar 15, 1985 12:06 AM Mars enters Taurus
Apr 26, 1985 4:13 AM Mars enters Gemini
June 9, 1985 5:40 AM Mars enters Cancer
July 24, 1985 11:04 PM Mars enters Leo
Sep 9, 1985 8:31 PM Mars enters Virgo
Oct 27, 1985 10:16 AM Mars enters Libra
Dec 14, 1985 1:59 PM Mars enters Scorpio
Feb 2, 1986 1:27 AM Mars enters Sagittarius
Mar 27, 1986 10:47 PM Mars enters Capricorn
Oct 8, 1986 8:01 PM Mars enters Aquarius
Nov 25, 1986 9:35 PM Mars enters Pisces
Jan 8, 1987 7:20 AM Mars enters Aries
Feb 20, 1987 9:44 AM Mars enters Taurus
Apr 5, 1987 11:37 AM Mars enters Gemini
May 20, 1987 10:01 PM Mars enters Cancer
July 6, 1987 11:46 AM Mars enters Leo
Aug 22, 1987 2:51 PM Mars enters Virgo
Oct 8, 1987 2:27 PM Mars enters Libra
Nov 23, 1987 10:19 PM Mars enters Scorpio
Jan 8, 1988 10:24 AM Mars enters Sagittarius
Feb 22, 1988 5:15 AM Mars enters Capricorn
Apr 6, 1988 4:44 PM Mars enters Aquarius
May 22, 1988 2:42 AM Mars enters Pisces
July 13, 1988 3:00 PM Mars enters Aries
Oct 23, 1988 5:01 PM Mars Rx enters Pisces
Nov 1, 1988 7:57 AM Mars enters Aries
Jan 19, 1989 3:11 AM Mars enters Taurus
Mar 11, 1989 3:51 AM Mars enters Gemini
Apr 28, 1989 11:37 PM Mars enters Cancer
June 16, 1989 9:10 AM Mars enters Leo
Aug 3, 1989 8:35 AM Mars enters Virgo
Sep 19, 1989 9:38 AM Mars enters Libra
Nov 4, 1989 12:29 AM Mars enters Scorpio
Dec 17, 1989 11:57 PM Mars enters Sagittarius
Jan 29, 1990 9:10 AM Mars enters Capricorn
Mar 11, 1990 10:54 AM Mars enters Aquarius
Apr 20, 1990 5:09 PM Mars enters Pisces
May 31, 1990 2:11 AM Mars enters Aries
July 12, 1990 9:44 AM Mars enters Taurus
Aug 31, 1990 6:40 AM Mars enters Gemini
Dec 14, 1990 2:46 AM Mars Rx enters Taurus
Jan 20, 1991 8:15 PM Mars enters Gemini
Apr 2, 1991 7:49 PM Mars enters Cancer
May 26, 1991 7:19 AM Mars enters Leo
July 15, 1991 7:36 AM Mars enters Virgo
Sep 1, 1991 1:38 AM Mars enters Libra
Oct 16, 1991 2:05 PM Mars enters Scorpio
Nov 28, 1991 9:19 PM Mars enters Sagittarius
Jan 9, 1992 4:47 AM Mars enters Capricorn
Feb 17, 1992 11:38 PM Mars enters Aquarius
Mar 27, 1992 9:04 PM Mars enters Pisces
May 5, 1992 4:36 PM Mars enters Aries
June 14, 1992 10:56 AM Mars enters Taurus
July 26, 1992 1:59 PM Mars enters Gemini
Sep 12, 1992 1:05 AM Mars enters Cancer
Apr 27, 1993 6:40 PM Mars enters Leo
June 23, 1993 2:42 AM Mars enters Virgo
Aug 11, 1993 8:10 PM Mars enters Libra
Sep 26, 1993 9:15 PM Mars enters Scorpio
Nov 9, 1993 12:29 AM Mars enters Sagittarius
Dec 19, 1993 7:34 PM Mars enters Capricorn
Jan 27, 1994 11:05 PM Mars enters Aquarius
Mar 7, 1994 6:01 AM Mars enters Pisces
Apr 14, 1994 1:02 PM Mars enters Aries
May 23, 1994 5:37 PM Mars enters Taurus
July 3, 1994 5:30 PM Mars enters Gemini
Aug 16, 1994 2:15 PM Mars enters Cancer
Oct 4, 1994 10:48 AM Mars enters Leo
Dec 12, 1994 6:32 AM Mars enters Virgo
Jan 22, 1995 6:48 PM Mars Rx enters Leo
May 25, 1995 11:09 AM Mars enters Virgo
July 21, 1995 4:21 AM Mars enters Libra
Sep 7, 1995 2:00 AM Mars enters Scorpio
Oct 20, 1995 4:02 PM Mars enters Sagittarius
Nov 30, 1995 8:57 AM Mars enters Capricorn
Jan 8, 1996 6:02 AM Mars enters Aquarius
Feb 15, 1996 6:50 AM Mars enters Pisces
Mar 24, 1996 10:12 AM Mars enters Aries
May 2, 1996 1:16 PM Mars enters Taurus
June 12, 1996 9:42 AM Mars enters Gemini
July 25, 1996 1:32 PM Mars enters Cancer
Sep 9, 1996 3:02 PM Mars enters Leo
Oct 30, 1996 2:13 AM Mars enters Virgo
Jan 3, 1997 3:10 AM Mars enters Libra
Mar 8, 1997 2:49 PM Mars Rx enters Virgo
June 19, 1997 3:30 AM Mars enters Libra
Aug 14, 1997 3:42 AM Mars enters Scorpio
Sep 28, 1997 5:22 PM Mars enters Sagittarius
Nov 9, 1997 12:33 AM Mars enters Capricorn
Dec 18, 1997 1:37 AM Mars enters Aquarius
Jan 25, 1998 4:26 AM Mars enters Pisces
Mar 4, 1998 11:18 AM Mars enters Aries
Apr 12, 1998 8:04 PM Mars enters Taurus
May 23, 1998 10:42 PM Mars enters Gemini
July 6, 1998 4:00 AM Mars enters Cancer
Aug 20, 1998 2:16 PM Mars enters Leo
Oct 7, 1998 7:28 AM Mars enters Virgo
Nov 27, 1998 5:10 AM Mars enters Libra
Jan 26, 1999 6:59 AM Mars enters Scorpio
May 5, 1999 4:32 PM Mars Rx enters Libra
July 4, 1999 10:59 PM Mars enters Scorpio
Sep 2, 1999 2:29 PM Mars enters Sagittarius
Oct 16, 1999 8:35 PM Mars enters Capricorn
Nov 26, 1999 1:56 AM Mars enters Aquarius
Jan 3, 2000 10:01 PM Mars enters Pisces
Feb 11, 2000 8:04 PM Mars enters Aries
Mar 22, 2000 8:25 PM Mars enters Taurus
May 3, 2000 2:18 PM Mars enters Gemini
June 16, 2000 7:29 AM Mars enters Cancer
July 31, 2000 8:21 PM Mars enters Leo
Sep 16, 2000 7:19 PM Mars enters Virgo
Nov 3, 2000 9:00 PM Mars enters Libra
Dec 23, 2000 9:37 AM Mars enters Scorpio
Feb 14, 2001 3:06 PM Mars enters Sagittarius
Sep 8, 2001 12:51 PM Mars enters Capricorn
Oct 27, 2001 12:19 PM Mars enters Aquarius
Dec 8, 2001 4:52 PM Mars enters Pisces
Jan 18, 2002 5:53 PM Mars enters Aries
Mar 1, 2002 10:05 AM Mars enters Taurus
Apr 13, 2002 12:36 PM Mars enters Gemini
May 28, 2002 6:43 AM Mars enters Cancer
July 13, 2002 10:23 AM Mars enters Leo
Aug 29, 2002 9:38 AM Mars enters Virgo
Oct 15, 2002 12:38 PM Mars enters Libra
Dec 1, 2002 9:26 AM Mars enters Scorpio
Jan 16, 2003 11:22 PM Mars enters Sagittarius
Mar 4, 2003 4:17 PM Mars enters Capricorn
Apr 21, 2003 6:48 PM Mars enters Aquarius
June 16, 2003 9:25 PM Mars enters Pisces
Dec 16, 2003 8:24 AM Mars enters Aries
Feb 3, 2004 5:04 AM Mars enters Taurus
Mar 21, 2004 2:39 AM Mars enters Gemini
May 7, 2004 3:45 AM Mars enters Cancer
June 23, 2004 3:50 PM Mars enters Leo
Aug 10, 2004 5:14 AM Mars enters Virgo
Sep 26, 2004 4:15 AM Mars enters Libra
Nov 11, 2004 12:10 AM Mars enters Scorpio
Dec 25, 2004 11:04 AM Mars enters Sagittarius
Feb 6, 2005 1:31 PM Mars enters Capricorn
Mar 20, 2005 1:02 PM Mars enters Aquarius
Apr 30, 2005 9:58 PM Mars enters Pisces
June 11, 2005 9:30 PM Mars enters Aries
July 28, 2005 12:12 AM Mars enters Taurus
Feb 17, 2006 5:44 PM Mars enters Gemini
Apr 13, 2006 7:59 PM Mars enters Cancer
June 3, 2006 1:43 PM Mars enters Leo
July 22, 2006 1:53 PM Mars enters Virgo
Sep 7, 2006 11:18 PM Mars enters Libra
Oct 23, 2006 11:38 AM Mars enters Scorpio
Dec 5, 2006 11:58 PM Mars enters Sagittarius
Jan 16, 2007 3:54 PM Mars enters Capricorn
Feb 25, 2007 8:32 PM Mars enters Aquarius
Apr 6, 2007 3:49 AM Mars enters Pisces
May 15, 2007 9:06 AM Mars enters Aries
June 24, 2007 4:27 PM Mars enters Taurus
Aug 7, 2007 1:01 AM Mars enters Gemini
Sep 28, 2007 6:54 PM Mars enters Cancer
Dec 31, 2007 11:00 AM Mars Rx enters Gemini
Mar 4, 2008 5:01 AM Mars enters Cancer
May 9, 2008 3:20 PM Mars enters Leo
July 1, 2008 11:21 AM Mars enters Virgo
Aug 19, 2008 5:03 AM Mars enters Libra
Oct 3, 2008 11:34 PM Mars enters Scorpio
Nov 16, 2008 3:26 AM Mars enters Sagittarius
Dec 27, 2008 2:30 AM Mars enters Capricorn
Feb 4, 2009 10:55 AM Mars enters Aquarius
Mar 14, 2009 10:20 PM Mars enters Pisces
Apr 22, 2009 8:44 AM Mars enters Aries
May 31, 2009 4:18 PM Mars enters Taurus
July 11, 2009 9:56 PM Mars enters Gemini
Aug 25, 2009 12:15 PM Mars enters Cancer
Oct 16, 2009 10:32 AM Mars enters Leo
June 7, 2010 1:11 AM Mars enters Virgo
July 29, 2010 6:46 PM Mars enters Libra
Sep 14, 2010 5:37 PM Mars enters Scorpio
Oct 28, 2010 1:47 AM Mars enters Sagittarius
Dec 7, 2010 6:49 PM Mars enters Capricorn
Jan 15, 2011 5:41 PM Mars enters Aquarius
Feb 22, 2011 8:06 PM Mars enters Pisces
Apr  2, 2011 12:51 AM Mars enters Aries
May 11, 2011  3:03 AM Mars enters Taurus
June 20, 2011 10:50 PM Mars enters Gemini
Aug  3, 2011  5:22 AM Mars enters Cancer
Sep 18, 2011  9:51 PM Mars enters Leo
Nov 10, 2011 11:15 PM Mars enters Virgo
July  3, 2012 8:32 AM Mars enters Libra
Aug 23, 2012 11:24 AM Mars enters Scorpio
Oct  6, 2012 11:21 PM Mars enters Sagittarius
Nov 16, 2012  9:36 PM Mars enters Capricorn
Dec 25, 2012  7:49 PM Mars enters Aquarius
Feb  1, 2013  8:54 PM Mars enters Pisces
Mar 12, 2013  2:26 AM Mars enters Aries
Apr 20, 2013  7:48 AM Mars enters Taurus
May 31, 2013  6:39 AM Mars enters Gemini
July 13, 2013  9:22 AM Mars enters Cancer
Aug 27, 2013  10:05 PM Mars enters Leo
Oct 15, 2013  7:05 AM Mars enters Virgo
Dec  7, 2013  3:41 PM Mars enters Libra
July 25, 2014 10:25 PM Mars enters Scorpio
Sep 13, 2014  5:57 PM Mars enters Sagittarius
Oct 26, 2014  6:43 AM Mars enters Capricorn
Dec  4, 2014  6:57 PM Mars enters Aquarius
Jan 12, 2015  5:20 AM  Mars enters Pisces
Feb 19, 2015  7:11 PM  Mars enters Aries
Mar 31, 2015 12:26 PM  Mars enters Taurus
May 11, 2015 10:40 PM  Mars enters Gemini
Jun 24, 2015  9:33 AM  Mars enters Cancer
Aug  8, 2015  7:32 PM  Mars enters Leo
Sep 24, 2015 10:18 PM  Mars enters Virgo
Nov 12, 2015  4:41 PM  Mars enters Libra
Jan  3, 2016     9:32 AM  Mars enters Scorpio
Mar  5, 2016     9:29 PM  Mars enters Sagittarius
May 27, 2016     9:51 AM  Mars Rx enters Scorpio
Aug  2, 2016     1:49 PM  Mars enters Sagittarius
Sep 27, 2016     4:07 AM  Mars enters Capricorn
Nov  9, 2016    12:51 AM  Mars enters Aquarius
Dec 19, 2016     4:23 AM  Mars enters Pisces
Jan 28, 2017    12:39 AM  Mars enters Aries
Mar  9, 2017     7:34 PM  Mars enters Taurus
Apr 21, 2017     6:32 AM  Mars enters Gemini
Jun  4, 2017    12:16 PM  Mars enters Cancer
Jul 20, 2017     8:19 AM  Mars enters Leo
Sep  5, 2017     5:35 AM  Mars enters Virgo
Oct 22, 2017     2:29 PM  Mars enters Libra
Dec  9, 2017     3:59 AM  Mars enters Scorpio
Jan 26, 2018     7:56 AM  Mars enters Sagittarius
Mar 17, 2018    12:40 PM  Mars enters Capricorn
May 16, 2018    12:55 AM  Mars enters Aquarius
Aug 12, 2018    10:14 PM  Mars Rx enters Capricorn
Sep 10, 2018     8:56 PM  Mars enters Aquarius
Nov 15, 2018     5:21 PM  Mars enters Pisces
Dec 31, 2018     9:20 PM  Mars enters Aries
Feb 14, 2019     5:51 AM  Mars enters Taurus
Mar 31, 2019     2:12 AM  Mars enters Gemini
May 15, 2019    11:09 PM  Mars enters Cancer
Jul  1, 2019     7:19 PM  Mars enters Leo
Aug 18, 2019     1:18 AM  Mars enters Virgo
Oct  4, 2019    12:22 AM  Mars enters Libra
Nov 19, 2019     2:40 AM  Mars enters Scorpio
Jan  3, 2020     4:37 AM  Mars enters Sagittarius
Feb 16, 2020     6:33 AM  Mars enters Capricorn
Mar 30, 2020     3:43 PM Mars enters Aquarius
May 13, 2020    12:17 AM Mars enters Pisces
Jun 27, 2020     9:45 PM  Mars enters Aries
Jan  6, 2021     5:27 PM  Mars enters Taurus
Mar  3, 2021    10:29 PM Mars enters Gemini
Apr 23, 2021     7:49 AM Mars enters Cancer
Jun 11, 2021     9:34 AM  Mars enters Leo
Jul 29, 2021     4:32 PM  Mars enters Virgo
Sep 14, 2021     8:14 PM  Mars enters Libra
Oct 30, 2021    10:21 AM Mars enters Scorpio
Dec 13, 2021     4:53 AM Mars enters Sagittarius
Jan 24, 2022     7:53 AM Mars enters Capricorn
Mar  6, 2022     1:23 AM  Mars enters Aquarius
Apr 14, 2022    11:05 PM  Mars enters Pisces
May 24, 2022     7:17 PM  Mars enters Aries
Jul  5, 2022     2:04 AM  Mars enters Taurus
Aug 20, 2022     3:56 AM  Mars enters Gemini
Mar 25, 2023     7:45 AM  Mars enters Cancer
May 20, 2023    11:31 AM Mars enters Leo
Jul 10, 2023     7:40 AM  Mars enters Virgo
Aug 27, 2023     9:20 AM Mars enters Libra
Oct 12, 2023    12:04 AM  Mars enters Scorpio
Nov 24, 2023     5:15 AM Mars enters Sagittarius
Jan  4, 2024     9:58 AM  Mars enters Capricorn
Feb 13, 2024     1:05 AM  Mars enters Aquarius
Mar 22, 2024     7:47 PM  Mars enters Pisces
Apr 30, 2024    11:33 AM  Mars enters Aries
Jun  9, 2024    12:35 AM  Mars enters Taurus
Jul 20, 2024     4:43 PM   Mars enters Gemini
Sep  4, 2024     3:46 PM   Mars enters Cancer
Nov  3, 2024    11:09 PM  Mars enters Leo
Jan  6, 2025     5:44 AM  Mars Rx enters Cancer
Apr 18, 2025    12:20 AM  Mars enters Leo
Jun 17, 2025     4:35 AM  Mars enters Virgo
Aug  6, 2025     7:23 PM  Mars enters Libra
Sep 22, 2025     3:54 AM  Mars enters Scorpio
Nov  4, 2025     8:01 AM  Mars enters Sagittarius
Dec 15, 2025     2:33 AM  Mars enters Capricorn
